Package Name,Reviewer Name,Review,Rating
combabylontelushealth,google user,cant even sign up because i keep getting id verification has failed tried both drivers license passport different lighting all sorts poses whats going,one
combabylontelushealth,google user,nothing has changed except worse guess i dont need take thyroid meds anymore update logged got appointment next dat tried login appointment not working changed password appointment calls arrived i accepted received error messages then appointment was cancelled five pills left i will try tomake five pills last however many days takes get some sort healthcare i should have stayed ontario where i had doctor just wrong,one
combabylontelushealth,google user,love apps telus health care drs always ask insightful questions its quick easy do love service,five
combabylontelushealth,google user,its next impossible get an appointment i have been waiting an acl surgery almost 4yrs now cant even make an appointment figure out issue,one
combabylontelushealth,google user,very mixed bag experience very hard get an appointment,three
combabylontelushealth,google user,its impossible create an appointment here very not user friendly,one
combabylontelushealth,google user,there are never any appointments available,one
combabylontelushealth,google user,i cant get an appointment ive tried almost year checking regularly appointments but nothing im bot sure if situation just bad or if theres glitch app no appointments showing me all i need referral,two
combabylontelushealth,google user,ive had multiple doctors cancel appointment but give no notification has happened just very hard get talk any doctors,two
combabylontelushealth,google user,there are no option book appointments im from pei am i not able see doctor virtually if so why his not clearly stated most frustrating confusing experience,one
combabylontelushealth,google user,no appointments available months no explanation why,one
combabylontelushealth,google user,impossible get an appointment app now useless never any dates available,one
combabylontelushealth,google user,not good so far unable find any appointments next two months,one
combabylontelushealth,google user,super convenient,five
combabylontelushealth,google user,easy use,five
combabylontelushealth,google user,kind works eventually doesnt work all now says i dont have an internet connection,two
combabylontelushealth,google user,waste time,one
combabylontelushealth,google user,i spoke very nice pharmacist only day wait time however she couldnt prescribe what i need skin infection getting doctor appointment here least two weeks away,four
combabylontelushealth,google user,very thorough pleasant,five
combabylontelushealth,google user,i love idea telemedicine appreciate creation apps however there are no available appointments all so i just cant use,two
combabylontelushealth,google user,app has made my life so much easier haha thanks,five
combabylontelushealth,google user,ok except one big gripe one fill meeting info two toggle two weeks dates meetings three discover no meetings four represents about six thousand seventy my app experience how about hear me out one find nearest available meetings cards seperated by dates i nstead date toggle two once available meeting found fill notes keep meeting type prior available meeting prior but leave note input until after meeting availability confirmed update havent fixed knocked off another star,two
combabylontelushealth,google user,there are never any appointments available,one
combabylontelushealth,google user,prescription process disorganized under new proceas but when i called i was able get sorted least,two
combabylontelushealth,google user,they cancelled my appointment less than an hour notice i required an urgent refill which will not be happening thanks lack care from telus health i do not recommend them,one
combabylontelushealth,google user,telus health has been life saver has seen me through lot mental health explorations,five
